"Loggroup","Logcount","Top Words","Word Count","Counter"
1,176,"redskins",154,1
1,176,"next",92,2
1,176,"week",82,3
1,176,"beat",74,4
1,176,"cowboys",70,5
2,88,"redskins",88,1
2,88,"cowboys",86,2
2,88,"east",47,3
2,88,"nfc",47,4
2,88,"title",47,5
3,20,"redskins",16,1
3,20,"ravens",13,2
3,20,"superbowl",8,3
3,20,"broncos",7,4
3,20,"seahawks",7,5
4,93,"nfl",97,1
4,93,"redskins",58,2
4,93,"playoffs",56,3
4,93,"make",54,4
4,93,"likely",52,5
5,96,"redskins",78,1
5,96,"just",52,2
5,96,"like",51,3
5,96,"dallas",16,4
5,96,"nfl",16,5
6,1149,"redskins",917,1
6,1149,"cowboys",316,2
6,1149,"nfl",261,3
6,1149,"win",142,4
6,1149,"dallas",140,5
7,129,"redskins",131,1
7,129,"httr",120,2
7,129,"cowboys",27,3
7,129,"sunday",17,4
7,129,"win",12,5
8,50,"prime",33,1
8,50,"time",30,2
8,50,"redskins",29,3
8,50,"espn",22,4
8,50,"iii",22,5
9,45,"espnfirsttake",45,1
9,45,"redskins",43,2
9,45,"east",19,3
9,45,"nfc",19,4
9,45,"winning",16,5
10,154,"sunday",149,1
10,154,"night",143,2
10,154,"redskins",109,3
10,154,"cowboys",93,4
10,154,"game",77,5
